"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4228","test_blank_field_registration","Test_cases","2025-10-20","passed","2025-10-20","TestRegistration","test_registration","",""
"","2567","test_login_valid","Test_cases","2025-10-20","passed","2025-10-20","TestLogin","test_login","",""
"","3782","test_multiple_userid_registration","Test_cases","2025-10-20","passed","2025-10-20","TestRegistration","test_registration","",""
"","2523","test_login_invalid","Test_cases","2025-10-20","passed","2025-10-20","TestLogin","test_login","",""
"","3430","test_fish_link_verifying","Test_cases","2025-10-20","passed","2025-10-20","TestFishes","test_fish","",""
"","3931","test_logout","Test_cases","2025-10-20","passed","2025-10-20","TestLogOut","test_logout","",""
"","3442","test_unavialbe_item","Test_cases","2025-10-20","failed","2025-10-20","TestSearch","test_search","",""
"","13637","test_valid_registration","Test_cases","2025-10-20","broken","2025-10-20","TestRegistration","test_registration","",""
"","8243","test_search_icon","Test_cases","2025-10-20","broken","2025-10-20","TestSearch","test_search","",""
"","3978","test_search_keyboard","Test_cases","2025-10-20","passed","2025-10-20","TestSearch","test_search","",""
"","4034","test_return_to_menu","Test_cases","2025-10-20","passed","2025-10-20","TestFishes","test_fish","",""
"","5974","test_checkout","Test_cases","2025-10-20","passed","2025-10-20","TestAddToCart","test_add_to_cart","",""
"","3669","test_invalidphoneno_registration","Test_cases","2025-10-20","passed","2025-10-20","TestRegistration","test_registration","",""
"","5712","test_remove_item","Test_cases","2025-10-20","passed","2025-10-20","TestAddToCart","test_add_to_cart","",""
"","5631","test_update_item","Test_cases","2025-10-20","failed","2025-10-20","TestAddToCart","test_add_to_cart","",""
"","5401","test_add_to_cart","Test_cases","2025-10-20","passed","2025-10-20","TestAddToCart","test_add_to_cart","",""
